ページ,ページビュー数,ページ別訪問数,平均ページ滞在時間,閲覧開始数
/lp/houses/124_0011_3_01/index.html?argument=VhD4FQ1G&dmai=fb_124_0011_3_01&fbclid=PAAaaCzRxCC_NZKHHlJqML402Bwc_pQYgY6zu0wJKTEAhe002zm1Wbq6PHh4s,4,1,61.67,1
/lp/houses/124_0011_3_01/index.html?argument=VhD4FQ1G&dmai=fb_124_0011_3_01&fbclid=PAAaYD0fiDEIR1wctgCE8QGebDOJXlUSjMtmSEY3iabKa_ZH-X1pF7WDz6-24_aem_AUFazIbVLCSwsDpBBUMIjx0tgKtw1xqm-AQlqnpyo_tUFk2bhKJofEfcHHKgSN4y_WD8Kv-Jq3yXR1ry0D9YFdia0XQFk_whNc2-BDwa8r957O21MQ-kA7Ubec0Ui2PcYbs,4,1,15.33,1
/lp/houses/124_0011_3_01/index.html?argument=VhD4FQ1G&dmai=fb_124_0011_3_01&fbclid=PAAaZLZP6gN_YC8fVHX5Lv7UMzS_attlmcUMv-gG03gwzMz4I3HTDE1E5Fo8k,4,1,60.67,0
/lp/houses/125_0041_5_04/index.html?argument=VhD4FQ1G&dmai=fb_125_0041_5_04,4,4,16.00,1
/lp/houses/125_0041_5_04/index.html?argument=VhD4FQ1G&dmai=fb_125_0041_5_04&fbclid=IwAR0OMH12sOLlfRske-j_sX5qld-K7TCmFpIRGIrszImP98JPH5SL_5444oI_aem_AW-0w-YG-J9xSFocK36EI0XWUtWXBSWvElxXUCF-AwtS2HNL_Y5PXMmbXdDbEJkci1U_5V5Tb4zdEsxENpWddZc_ZOlsMSpXKZ1OQOI3gI0pq7kVAusyyG94NetgbQUbFS0,4,2,45.50,2
/lp/houses/125_0041_5_04/index.html?argument=VhD4FQ1G&dmai=fb_125_0041_5_04&fbclid=IwAR2wZxTW48mTGEW9T1bXQ_Dgsc3XFF-nTqQBSh1FVA0CDcWJLFyxdgC7J5w,4,4,0.00,3
/lp/houses/125_0041_5_04/index.html?argument=VhD4FQ1G&dmai=fb_125_0041_5_04&fbclid=PAAabv3_ffixC9ERuhAAoWAsdHQOwRhyJvhxmGndZXOWZNDi0hrJUFNzC-9YM_aem_AV7UQv1FB3hcDGI77WJfgxukJB_GNasG6zYc6sJdP7WHQ0EEF8DUzdH00nDIVJVAjYLMvxHPMLNL6TBw0aZthh8hxt_jSsRQrIt7qAB4nHnMzQk648c7cW8Xi7KSW5plm-E,4,4,1739.00,4
/lp/houses/125_0041_5_04/index.html?argument=VhD4FQ1G&dmai=fb_125_0041_5_04&fbclid=PAAaYMNifK1YEhuNG6qYBHxBT-maSJTgeCBLujipfKNq0NERoij_omFUQ3Sws,4,2,190.00,2
/lp/houses/125_0042_3_05/company.html,4,4,146.00,0
/lp/houses/133_0065_4_02/index.html?argument=VhD4FQ1G&dmai=fb_133_0065_4_02&fbclid=IwAR0gzfEENGW8TPij67nDxefHx5wU-mIxKsx8S9eouPRx3mYzP0_f-1eqAhc_aem_AbWkXMWMu7QQOzVSih_Qh8ICr81fOOWxKhuASVO0myiy14WSar9caznhTxDgo6Cv6SjYtV6sSvScjXJTiK8JQtCwJlgL-20qqCpLwHM4SS2mstWM7bk5f8InA4yXTdaL5Ic,4,3,247.00,3
/lp/houses/133_0065_4_02/index.html?argument=VhD4FQ1G&dmai=fb_133_0065_4_02&fbclid=PAAaapI-31LeauKOa2qTdVjkKoNFh-ONlRrwRiauybuGP2dGedNjP-lfVMIaI_aem_AQl0OlsSjfsdUa-HqOv5o3y0V18He65rKGGTapawiTsNtQEPGm3HDT-AakCzz8JoonBCRltbn7Tn-mYbAAFqo_RnWIQN9eEIRFYKLm5SqH2zXSV6mdgwqk1kmzL5BpC1Jfo,4,4,0.00,4
/lp/houses/133_0065_4_02/index.html?argument=VhD4FQ1G&dmai=fb_133_0065_4_02&fbclid=PAAaauEDA2lJQo6iRjtIHd-zvRahkQzkSxL6zE445GDCR34YB1J3ZmmPO3Pdk_aem_Adj7UrFmJKrxUVUqEIW0mWHOuijMW_5yQSX482JX6jbfscDVK9yfzbHMdseNu7965kvn9W6RedfNZG4Ed1m0lax2XMe863JW5tjEtwB3fnHE55XCqrMK37oHWFSrIwnX2l0,4,3,71.00,2
/lp/houses/133_0065_4_02/index.html?argument=VhD4FQ1G&dmai=fb_133_0065_4_02&fbclid=PAAab5e3Di-bdIy6gqdKaBpPuFie1oUejdjSNzvY0cupvgf3M-GeFCkygInhQ_aem_Afaj2CtSzMer22qUw73xe32ZMDg9T7bmPXXTpa6-BxgmlBoLsgnMT13s22WfSg7FVrxd3rerBCSSd-hzxonlHyi3FMqNNyuX0mz2oIUdjVFf6iUc9q4LZaCnt92jDskwW_E,4,3,202.50,3
/lp/houses/133_0065_4_02/index.html?argument=VhD4FQ1G&dmai=fb_133_0065_4_02&fbclid=PAAaYMOqTEwGF0CL2m1lGGJA_WWwWoumS3kvte4fzZGeH7W-0pwegINU4CCqc_aem_Ae4EVxobsEAGXVfX4zWrqgK7mh8LuEmtxK0BhlsykN2vLegc8MlcOAxaFa0eo9U5c_POtNWXuOKCo_HAGs0owjGMGeszMGhZLjDKgHnb4EJqhCI7TLbCL7hA8km-otVkV70,4,4,105.00,4
/lp/houses/133_0065_4_02/index.html?argument=VhD4FQ1G&dmai=fb_133_0065_4_02&fbclid=PAAaZK7AGicc6sUGfk2xHJMEOrMnneRt5G_zsYN9IC_GxhtyWfnIL4SJbakOE,4,4,0.00,4
/lp/houses/133_0065_4_02/index.html?argument=VhD4FQ1G&dmai=fb_133_0065_4_02&fbclid=PAAaZTuRA9STbUrkPxZpVfgMTU64Yeluf6iVOpsaZYibpoCFkSz1DGhqy9F08_aem_ATix2o_iHSu99Kp_pAp1InjfZ4xFZSJ4kHfop6jmaMIjDv55EUVyKaGqchRS8N_uuuAGTIlkV2XYe41YeT-JUxfKJmr_s1adLwGQKjAUK_xXG5rz5efIjpNHe_Eu3n9xtqI,4,1,57.67,1
/lp/houses/134_0081_1_02/index.html?argument=VhD4FQ1G&dmai=fb_134_0081_1_02&fbclid=IwAR1W_F4Lw29R4aed575DjDwOxPk2YHSkRVY7bwTUp0HPLJqc2cziBaWypRU_aem_AfzBGvc-VwRaArCTunOjmIC4p6jXUFsi6dPnWEir2bAkVUl-mVmlCd7bP5iCVlrKg7AkQOYylpf8lATfPPXfvguEqjv8bmC_IJgt2a1U-dIbiBO-51Qmwy4V_dY4qGatvHQ,4,3,305.00,3
/lp/houses/134_0081_1_02/index.html?argument=VhD4FQ1G&dmai=fb_134_0081_1_02&fbclid=PAAaabJurAIhpsnQKS3VoJ0TNiKqW-KiVLIluXKvnNIG6ggjOPub7ZFrZe1ck_aem_AXjp7T6DHgw9qj4iiGBmPoO_0IHzvX8P8RsPu56bgL0WrPVifdFpLsbeiHeY6VVznw6zVJeM5bZxS8w9C5wo1PVNEPSrcmpO-yoqbh4K2V6oO8SAiug0svhlHmTaF5QI9mQ,4,3,59.00,3
/lp/houses/134_0081_1_02/index.html?argument=VhD4FQ1G&dmai=fb_134_0081_1_02&fbclid=PAAaapLcnje3q0q3S2zVyICLxhzk2az36WEw7IEZYhrZ7a1Eisl_DRIhap-KA_aem_AfNztj1lFIt5pKdr7c5BYbCCG6nnMiQy-DaeexLYDbmtf_Q854eLYLjtlMZ0hZOg98oUw2XNgpi-b0WBEYyRHltBr0uYNQwkJDuKoGCfXF-CSBczowZDaHRhb-JucFgKrSs,4,4,0.00,4
/lp/houses/142_0043_2_01/index.html,4,3,8.33,0
/lp/houses/145_0064_1_01/after_service.html,4,4,17.50,1
/lp/houses/146_0084_1_02/index.html?argument=VhD4FQ1G&dmai=fb_146_0084_1_02&fbclid=IwAR0E3D_AI9j9RebiEjDuAtbk_M1nTdq1MIy5lDnCqlOsyZHvTIxwjgYcC0g,4,2,39.50,2
/lp/houses/146_0084_1_02/index.html?argument=VhD4FQ1G&dmai=fb_146_0084_1_02&fbclid=IwAR2k_SsWPp6gFz_VIN3x8GXBJhVq6wIg9suvIOFnOSwwsvoggS0LkQY93Ek_aem_AWbX5Ta_JiobR-9hjpIo_i0lnSTHRDZ1VLeSY3IAOh9UmtmKU-HlqZn4mzP1pDPWem_UpJhyWHuEbQ2RbaRXjcbI8wolUdxHcdD6osOfWDUBjkqy9kOPUBdI8faMavacCxg,4,4,69.50,1
/lp/houses/152_0013_2_01/index.html?argument=VhD4FQ1G&dmai=fb_152_0013_2_01&fbclid=PAAaaIV6d6ddO2eRUPhIUt5CgpDkW-IQeFxNAgzykAMzD4yd-w7GnJWqGQ8FM_aem_AYXig-dvgoZ-W5KZhXnt_bXlmepQcLmwtnYKv4v50wL1OuATxFL1EdEp8MSJQd9363u99YZd62XQdsZsh14hLDoCyJjUIUzzDYV7reyjL6rD4v23dEw1hRzzZrzQKiuuXQc,4,1,226.67,0
/lp/houses/154_0000_1_01/index.html?argument=VhD4FQ1G&dmai=fb_154_0000_1_01&fbclid=IwAR1NCrIn6DpwvBTqKA7jV7122O7FdmgAoCvHQOB0v6GfwIpRbLVF9WSn4IQ_aem_Aec9WLv8NqqrfxALhSWttKa5fAR3OqNyzlPySbTHN1Tf5l3sxPOW_xf7-H9-lEW_wcpVgp3o_UkpNyP00p7lQxHx8y8HuaRabwrShnpPnnn1MvNT-3-hudHdb55eOr_Ni4M,4,2,165.00,1
/lp/houses/155_0031_4_01/index.html?argument=VhD4FQ1G&dmai=fb_155_0031_4_01,4,4,17.75,0
/lp/houses/155_0031_4_01/index.html?argument=VhD4FQ1G&dmai=fb_155_0031_4_01&fbclid=IwAR3PDrVqLlf-VcRd3q2rNbTyaSUhbZuHFdLbaEy-iiZnnXHQvSgqE5V-xLM,4,2,18.50,1
/lp/houses/155_0031_4_01/index.html?argument=VhD4FQ1G&dmai=fb_155_0031_4_01&fbclid=PAAaayK73qUNhD53HGfVGGAfMXpqbOGdXZXvNxmKA6BaDJsXzzY3e9keLY1Ns,4,3,30.75,2
/lp/houses/155_0031_4_01/index.html?argument=VhD4FQ1G&dmai=fb_155_0031_4_01&fbclid=PAAabVPDJ2aqjHEUrVxrrxvWnyNORx6PiP6qNbiofLT8IsxOPitESP4VC6P4A,4,1,8.00,1
/lp/houses/155_0031_4_01/index.html?argument=VhD4FQ1G&dmai=fb_155_0031_4_01&fbclid=PAAaYMrB5SCKdLbQmwm8HT3TY4u4JxxiUZ2MNw8IFCNf0nD67ES-eVnI21PAo_aem_AQCoQdUTtgkFsuxby-iPRgEn3V5ZlhwYFXcbl2c9VfV8wSklwmY_BK-lL9QSEwXOoJDRMoBUDyUwNbL2hByuEgJMRt11Vbx6pViX9kOO4iXpkuXvIOyAuCJshgCkTqJ_VKA,4,1,20.67,0
/lp/houses/156_0054_1_04/company.html,4,4,22.50,1
/lp/houses/156_0054_2_02/?yclid=YSS.1001111129.EAIaIQobChMIi8jU7sCg8QIVDnkqCh37fABSEAAYBCAAEgKYp_D_BwE,4,2,95.00,2
/lp/houses/156_0054_2_02/?yclid=YSS.1001111129.EAIaIQobChMIo6WP_cTt8QIVyq6WCh2tnwJDEAAYASAAEgJ-QPD_BwE,4,3,50.00,3
/lp/houses/156_0054_2_02/index.html?argument=VhD4FQ1G&dmai=fb_156_0054_2_02&fbclid=PAAabPA07Hnv4f_PWZlcAiQQMRVLj59CR30Vac58RRm7bmJVv-pFyQH_XHKqs_aem_AbDt41Xs0xO4QSPq4LNse4BGYlIY26O5-_RLEUhGOzm1k1TffLMgUna7bVj8YBXLb8H-LgyOo1vA_XKU9juDp8CYWtS6wF98DMUUNb7SzuUsX1RRvdryitMLJ9T3htbeBQQ,4,4,77.00,4
/lp/houses/156_0054_2_02/index.html?argument=VhD4FQ1G&dmai=fb_156_0054_2_02&fbclid=PAAaZrN0PIUV-uWikFpICtzw5hq491V9VCTyaLn04OwaR6lWhfI6vIVdvprXk_aem_AZCs_hjIV4p1vVY4EfN-IW5zJ7i6a7Y71zYIemBbctmgZDF1fFDkHG_Vhavkh-XEWqmomBb-HbNZt9iR2F39ewBqzpy6LtQBKwP5N5NpbthaeTPK3LAO-YFErzmzJ1RGvgI,4,4,7.00,4
/lp/houses/158_0095_5_04/index.html,4,2,4.75,0
/lp/houses/166_0003_3_02/index.html?argument=VhD4FQ1G&dmai=fb_166_0003_3_02&fbclid=PAAabcoJeotEDjLeTSD5MVGMN7TbY5I_7m12d3bTMluD33e8r_BSUVWldWKTI,4,3,7.00,3
/lp/houses/166_0003_3_02/index.html?argument=VhD4FQ1G&dmai=fb_166_0003_3_02&fbclid=PAAaZrfHZxFSlNgiEJefZZWUip9pgMKcHXPExONillcKOl4Hn99HUyfCTzvi4_aem_AeBYo2St_TMN150Jupl_gKJrUinktRO3xuxxc7j-VJBHauGmdK2N7U1IPhE4NQxUi86mlKs4cIa1w4pRibT16_UjXphBoWyRAd0RuhH0LSwVOB3fpWGZlAR1k91M5JWgVCM,4,3,36.00,3
/lp/houses/166_0003_3_02/index2.html,4,3,49.75,0
/lp/houses/166_0013_3_01/index.html?argument=VhD4FQ1G&dmai=fb_166_0013_3_01,4,4,8.00,1
/lp/houses/166_0013_3_01/index.html?argument=VhD4FQ1G&dmai=fb_166_0013_3_01&fbclid=PAAaazLhtccM-gwmJ5P4jHfZ6zxXonDbktVaeOYBTSeqhB5Ubr4J8DyLMh6LE,4,2,57.50,2
/lp/houses/166_0013_3_01/index.html?argument=VhD4FQ1G&dmai=fb_166_0013_3_01&fbclid=PAAaYrrU_0soXrekG3BvXavkSAqAInVilGMa3EwFSqqP0-PyrQemFcfR9VZmk_aem_AQSGA2HVfGgrumkSeJ3JubBqCvTDDbkoMtiACEdTIGU1eMGpfYdIdxQl_0_SOoniXgYzRe-7ZUkaLs-6yZlCB-Mhs51pWrQIgDfjvzGyNfmqDr-wqztr6MASnRpD3zSS1bU,4,4,121.00,1
/lp/houses/167_0031_3_02/company.html,4,3,23.00,1
/lp/houses/167_0031_3_02/concept.html,4,4,0.00,4
/lp/houses/167_0042_4_04/index.html?argument=VhD4FQ1G&dmai=fb_167_0042_4_04&fbclid=PAAaaPRM-x03vuWmuKvixRcDD0T2neGqVNMXxQTONyxMUtbWJSvfmzYuy8ZZM_aem_AZim6uxqH6Xu08aC_-D0rk9nuGdywE85bF3VsrSA26M-SPO_oyqbqyxyh32-joXCTMEbRgzv1A8Cbkn_XJSxY3RTMGWud8tVF1KCwBJN3Sa-wh9He5l--tGnTedYRn-n0Gs,4,1,61.33,1
/lp/houses/167_0042_4_04/index.html?argument=VhD4FQ1G&dmai=fb_167_0042_4_04&fbclid=PAAaaSdojTe4Rf2bf9zUOvx6gHGOJ5l7a0HRRIH3J7Z5cuw8rJzfK17enBAbg_aem_ATWGXhTRs3SHbJJSxG6RnEJx_HIDJAp8vRacfL8BeTvkKSYIbQ4zGZgpkk-4CHuSTZ1G1BRu2ukyIo6rlkq5Ll4GTdFlrbFKaKdX_DN5_6CmyBl-rncse6-RH_6F5Ak5omM,4,1,58.00,0
/lp/houses/167_0042_4_04/index.html?argument=VhD4FQ1G&dmai=fb_167_0042_4_04&fbclid=PAAabQfsnuV929iV7a1Gi5rl7KRPCPNP3N7ZaK87iS_p6j1BqplVSV59tUKwg,4,1,51.00,0
/lp/houses/167_0042_4_05/index.html?argument=VhD4FQ1G&dmai=fb_167_0042_4_05&fbclid=PAAaakNt2bETO8fqHRCPpn3Q-_hsfU0oWYlalIRLGy8FSFi2-iFIIIUoX4osU_aem_ASb6jfh9d0gi3xeQofsziGBuhDFq44zWz2lCqPrAFm9uTJnkyDgsG1XaqhrViQKq3Kg9keVI2DsRSYVTZesvW3-3Qmya3P68D4ZioupqDX6_G2KEORxcI64KY_IQD3PesuA,4,3,22.00,3
/lp/houses/167_0042_4_05/index.html?argument=VhD4FQ1G&dmai=fb_167_0042_4_05&fbclid=PAAab3UXUdGrVQyY-HiYuHD3E7eto67k12BwiVy_f_MNQQZ9AQKCl7hwOKzg8,4,1,34.33,0
/lp/houses/167_0042_4_05/index.html?argument=VhD4FQ1G&dmai=fb_167_0042_4_05&fbclid=PAAaYdNmIix_Bw3UjBigExeI8Y7ysJrKE0jA_mrNl3coE6UXbJ5WGbWqfsDXY_aem_ASk3ZZmrIN8qMPOKcMtJkV0dleB9CBYwAUZ71tDXvE5fnKuj0eIWZyAxaPhS_Z4IBQwh7wU8tQn08nVu-MqmBG67XKyAH49KmAGkXZPr7IVjQ2cIILOyJ7wfEFn-xwVfUxA,4,1,26.25,0
/lp/houses/167_0042_4_05/index.html?argument=VhD4FQ1G&dmai=fb_167_0042_4_05&fbclid=PAAaYJqaFYwEEzyoxNWtvw4b79h0bY8qg0p4qZJUoIW9IsSkEPu-BOlZkCQeg_aem_AXnnwvotAkszlUfObPNYZ7Fvf9RpJt1lL41cw3uaKMng0h0O7svqWUfGHegjkKoblafZQEBQAM3Bvre-Pud44nooAnNmV5u1qkcGjFX_PS0j7GmAxU88jf3aIElfDnBdXbU,4,3,448.50,3
/lp/houses/167_0042_4_05/index.html?argument=VhD4FQ1G&dmai=fb_167_0042_4_05&fbclid=PAAaZxtnf00UMwjbo_k_UylTSz5hcQxuTNY9XglkuxWaSDcfgKgaDUUya_4nA_aem_AYrdsVNr5nlT5j63rv2gujQc_i5SJLnBlTypI9XpdSgqdBmtb2ANGsZJjCwa0CPpQwgkt_7PeThxXzQ7V4ELyD1-cl3vDHZLI1-fzEpDk-SyBSvrOc3DDCHWYDnPQZIn99c,4,4,0.00,4
/lp/houses/167_0052_3_06/company.html,4,4,36.50,0
/lp/houses/168_0074_1_02/index.html?argument=VhD4FQ1G&dmai=fb_168_0074_1_02&fbclid=PAAaacv-iJ5ZSgtXiN4_223tFEEtojsrQC8Q_RUTNGqWfcO88rt0JHREbpz0M,4,3,122.50,2
/lp/houses/168_0074_1_02/index.html?argument=VhD4FQ1G&dmai=fb_168_0074_1_02&fbclid=PAAaZEBVpa3I1tnfwJ9qgiDqsms-0xRdUMhc8I8wvsV-W8bsiL-BhxbzbNk-A_aem_ARqd0qaRCyLPprw-ptJwLQ5QJYbzfZ9wXfSn5Se-oC0WKvjuMIT-E22Oitg45cczScd150WN0eesFRPVwfYq5Lt5XNIesSyYBvuVzzBEZ7VJJQOMb5PaTgIWrvvEHx6RRDE,4,1,21.00,0
/lp/houses/169_0074_1_01/?yclid=YSS.1001111129.EAIaIQobChMIlonliMTd8QIVE3ZgCh3M1AAGEAAYASAAEgKTRfD_BwE,4,3,178.00,1
/lp/houses/169_0074_1_01/index.html?argument=VhD4FQ1G&dmai=fb_169_0074_1_01,4,3,379.00,3
/lp/houses/169_0074_1_01/index.html?argument=VhD4FQ1G&dmai=fb_169_0074_1_01&fbclid=PAAaY-afyXZIO9AkGydFkqWTBvBLb0rCFSyakkvr_8AZ1qVinu0WDF0iGKKBw,4,2,82.00,2
/lp/houses/170_0005_2_02/company.html,4,2,17.75,2
/lp/houses/170_0011_2_04/index.html?argument=VhD4FQ1G&dmai=fb_170_0011_2_04&fbclid=PAAabgcClBWpKyUtD3PWtGjdHjSz0Zr1aQn_6UTge9Yyezm1bGTHjcTUxZxdw,4,1,10.67,1
/lp/houses/170_0011_2_04/index.html?argument=VhD4FQ1G&dmai=fb_170_0011_2_04&fbclid=PAAaZdQa4Nchsrm5BO9gfoclg3qwqKvC3NprziL6OX_Hd0fO67TJmpIIWNlgk_aem_ATO8nPgyyWhqj2QPq0mGA-1tpViKNlGonUCkJcUzqKbqANx2Mz8bsqfu98jx8t_kgjJ2H16zPP4GgZ7TCWnMbAqVIRm6sR62o0Rh8QibUZkhoIvIePhgwGHgT7LIxVrozgo,4,1,23.33,0
/lp/houses/173_0002_8_01/index.html?argument=VhD4FQ1G&dmai=fb_173_0002_8_01&fbclid=IwAR2_mD920JXhaTId8-PymuIg1QQnZBu1Goa4OWyUtaUPL9RalTPyF0NRFtM_aem_Aa6UrTkOlmtQ8qLfqfrlVwhj9MSSTc-yaNUNkHFJQoqJszotbEDdZ3r2o8iwyrWyYhCVSjLBv42i-tPbEyxzHjPaYSYyfdz8tKdZZdcPaucs0vrGlgo907spK4IVwSfrpc0,4,3,945.50,2
/lp/houses/173_0002_8_01/index.html?argument=VhD4FQ1G&dmai=fb_173_0002_8_01&fbclid=IwAR3fU8JjyAWjQ6dLUPVLK19-2PatTCbf9DqVZdO-d3laW36_QtLapb25QJ0,4,3,112.00,3
/lp/houses/174_0043_1_02/after_service.html,4,4,12.00,0
/lp/houses/175_0092_5_01/index.html,4,3,8.00,1
/lp/houses/176_0013_2_03/index.html?argument=VhD4FQ1G&dmai=fb_176_0013_2_03,4,4,4.00,2
/lp/houses/177_0042_6_01/concept.html,4,4,162.50,0
/lp/houses/177_0044_2_02/,4,3,37.67,2
/lp/houses/177_0044_2_02/index.html?argument=VhD4FQ1G&dmai=fb_177_0044_2_02&fbclid=PAAaY9rm11BborsAiHt563iXxyn-_oH0aqS7kC6Bv-DjqMMizLzOw9Jut58ps,4,3,160.50,3
/lp/houses/177_0044_3_01/after_service.html,4,3,20.00,0
/lp/houses/178_0061_2_05/index.html,4,3,8.33,0
/lp/houses/185_0035_4_02/after_service.html,4,3,20.33,1
/lp/houses/187_0025_2_01/concept.html,4,4,64.00,0
/lp/houses/189_0003_5_02/,4,3,18.33,3
/lp/houses/189_0003_5_02/company.html,4,3,669.00,2
/lp/houses/189_0003_5_02/concept.html,4,4,231.50,2
/lp/houses/189_0012_4_01/company.html,4,4,47.00,0
/lp/houses/190_0003_4_02/concept.html,4,3,32.00,0
/lp/houses/190_0003_4_02/index.html?argument=VhD4FQ1G&dmai=fb_190_0003_4_02,4,2,144.00,0
/lp/houses/190_0013_1_03/?yclid=YSS.1001111129.EAIaIQobChMIxczSn5nE8AIVBKuWCh31ywKyEAAYASAAEgKhwPD_BwE,4,1,87.00,1
/lp/houses/203_0031_4_02/,4,4,58.67,2
/lp/houses/215_0018_6_01/index.html?argument=VhD4FQ1G&dmai=fb_215_0018_6_01&fbclid=PAAabX91wGBV8Q0y2ufv19mo4rieKHgN6hRz9cJM-ksUN8keNiWq4AA8aAakM,4,1,37.00,1
/lp/houses/252_0134_1_01/?yclid=YSS.1001111129.EAIaIQobChMI5syqhrO38AIVa9dMAh3LBgyXEAAYASAAEgJQpfD_BwE,4,3,102.00,3
/lp/houses/272_0825_1_02/after_service.html,4,3,23.00,1
/lp/houses/272_0825_1_02/company.html,4,3,14.00,1
/lp/houses/272_0825_2_03/company.html,4,4,107.50,0
/lp/houses/272_0825_2_03/index.html?argument=VhD4FQ1G&dmai=fb_272_0825_2_03&fbclid=IwAR0iTk8gIcfrrVEFmOZrO5k5uPJruw8W5U6duSU_cNko8VxHoE17eQjgr5o_aem_Aeet_OqkvvhBvPniSXbmINH9Gbz0UqbefNbEGSzu49IA4NyOYmFiLHTKfYmTExBoOavQ05NCA7fFaYBEfxjP4e9L97xg6rk8fdnr-1YoERtJXD6892mkyfSdSYtsFgkXZo0,4,1,8.00,1
/lp/houses/272_0834_4_02/?argument=VhD4FQ1G&dmai=ydn_gw_lp&yclid=YJAD.1592691992.pwmqnNOdcq3oheVRmnr0QALm5aEdX6N15rUrCoPd8Jw1df0K9q0JtiKCxOSxXtruD72bkiRCjmo9NtOXbWw9qHg8u2FyETrCgooN0WBs5KzLX4Q-,4,4,0.00,4
/lp/houses/273_0003_1_01/index.html?argument=VhD4FQ1G&dmai=fb_273_0003_1_01&fbclid=PAAaagnr3LDpsqJrnG9rUsKz7AOvWhGE_Dt9lubHE7b5DfG1aIrT4X9yeRA3Q_aem_AQI2L16a0ZWWfEbso7EKvzFmJNPM8QTVSrZXZCkIx-4-T-cpo39Ai1kXvEWZdaSWrGT16b3PJti9WPc4WPk78U46c57l9eqVexyGcd86cWPeIUaCrWkGIZSWsy4iTMZqalM,4,3,231.50,3
/lp/houses/274_0063_8_02/index.html?argument=VhD4FQ1G&dmai=fb_274_0063_8_02&fbclid=PAAaY7LPlLyXY_Fz73sEVjEHYRJhW1dkL3bzQCrUXRo_sFdIEy-8H2Z5Xd3cc_aem_AQ7r9JFQC6K1G8f6SO_ABB3Lr0Dve5lTKFREhcj4aUu5MS8HLH62Qx4PsK7nMr3MzsO2QLE93q2GjfjC0a8AK81hWOxGZ0_JhuCuz_7EfozzAIR4V8-B2EUIW0vDAAldzyA,4,3,78.50,3
/lp/houses/274_0063_8_02/index.html?argument=VhD4FQ1G&dmai=fb_274_0063_8_02&fbclid=PAAaYgAI6lIvxgBOrtOWn0A4QCwMsS6NGjGqHC07VWEu_3egIXDBnf2wK0628_aem_AX1w4C5fz4aTCxbtHVu79jaG9vDgP-cqz-cSc2zgayZZ5l3h22vGGcVIsGxoivMC-PiWtNVerHYU2-qIhXjfxqq5tha78fnaJBQqocmc2ueaUijJ0pYjoRqG30lvOG98fj0,4,1,31.00,1
/lp/houses/274_0063_8_02/index.html?argument=VhD4FQ1G&dmai=fb_274_0063_8_02&fbclid=PAAaZTgFSt4yvBPpnRgUN_Q1Dx8S94cAB9_cudyBP84Xzl7LSYnvHl3EKQOD4_aem_AdHea6k9zAP-Bmt1ZgABTy4JUMGyRtxZx0SVK7CXml-JtkGpRpZYtdUkG9eEtVpfQM7iT-_Et0f5FVPz_xFzTq1mzQa68KuGykxSPjMlqWnTECaPbsjLp2YYb2nV3z6RHHM,4,1,115.50,1
/lp/houses/274_0807_2_03/index.html?argument=VhD4FQ1G&dmai=fb_274_0807_2_03&fbclid=PAAaZHzGFRRvks2inun9dqkOher1CgLhiVpmvC3uaRqgdYVRS7jWjrRPuMBec,4,1,6.33,1
/lp/houses/275_0004_5_01/concept.html,4,4,0.00,2
/lp/houses/275_0004_5_01/index.html,4,3,15.00,1
/lp/houses/277_0061_1_01/index.html?argument=VhD4FQ1G&dmai=fb_277_0061_1_01&fbclid=IwAR12AuzvbykbJDur37eNKxh_hC5jPVQ0E-hsV6u_uyUPhCYDTJDcVN0vZ4M_aem_AQV0h6zAeMtHX90CrfLSnbH0y0G63-OquYEc5G0NyTyLgeDMkE_FYtscQT--TOLGyH2Q02fHte9qOhl0XmrfDx7H6WQZziCa3KWrKZm3yGE7d7RnEduxWypCPp2rI5nHL40,4,3,31.00,3
/lp/houses/277_0061_1_01/index.html?argument=VhD4FQ1G&dmai=fb_277_0061_1_01&fbclid=PAAaZdx1HL96KrSllmrc2fllxPXs1mv0Qy-qTZS1IA0PK92fAKmfQuoEwCHWw_aem_AQMg0pXJ-AOwR_vJHdjVjmANmbrR48yDEtMXPYi_YV8UzwVGVqoUvuPFEhwfIcnigfKjaja9GjPa0J6TgKV8wPOOKA_3UZ-2BOb1G9gMYx7U63SwT6mZPu3M8kI4L6wvn4o,4,4,65.50,4
/lp/houses/284_0012_889_02/after_service.html,4,4,44.00,0
/lp/houses/284_0012_889_02/concept.html,4,4,51.67,1
/lp/houses/284_0012_889_02/index.html?argument=VhD4FQ1G&dmai=fb_284_0012_889&fbclid=PAAaa5U6nQ3ONkbKzcMDo_44O6ehZzOP0FAnAbeWDcvR6bFhM5_uH6VoLGuHM_aem_Af7URB1yRfa_Y1CQSpExBSgS11sdmEoVk42vCN1pNWTGiPpopxlvdNFzBF0Gdx-F9Id2_NICPD9b8VAmkvEpk1EHQgV-9kbLKkuFv7nE3WAqTuZ7yl51pSfQbGd0lYBdK1w,4,4,0.00,3
/lp/houses/284_0012_889_02/index.html?argument=VhD4FQ1G&dmai=fb_284_0012_889&fbclid=PAAaakFJwTNPo_L8fraz0a46mxibUn6ei9NkeYHgaYtc5gyfJFX612VKcfdaI,4,3,40.00,3
/lp/houses/332_0027_2_07/after_service.html,4,2,66.00,1
/lp/houses/332_0027_2_07/index.html,4,2,31.67,0
